q_id,query,linked_word,paragraph_text,correct_article_id,correct_title,found_rank,retrieved_article_ids,retrieved_scores
1,"Retrieve the correct article for the term 'Craig Mazin' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Craig Mazin,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",147,Craig Mazin,7,146|149|155|152|179|153|147|174|154|150|181|175|151|178|182|148|177|176|183|180|191|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.693763|0.554638|0.488788|0.483402|0.480820|0.479811|0.471510|0.453361|0.451592|0.445537|0.434067|0.419685|0.396031|0.380957|0.378896|0.378653|0.350658|0.319059|0.318462|0.302910|0.299031|0.268577|0.125105|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
2,"Retrieve the correct article for the term 'Johan Renck' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Johan Renck,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",148,Johan Renck,4,146|174|154|148|179|181|152|175|149|153|155|177|178|150|182|151|176|191|180|147|183|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.711326|0.532653|0.532108|0.525186|0.514269|0.500154|0.490982|0.486544|0.483369|0.452081|0.451774|0.444317|0.426225|0.425333|0.401247|0.382362|0.355318|0.347346|0.336864|0.336156|0.331166|0.277480|0.213195|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
3,"Retrieve the correct article for the term 'HBO' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",HBO,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",149,HBO,1,149|146|155|153|154|179|151|174|150|152|175|181|176|178|182|180|1|183|177|191|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.794330|0.662886|0.557414|0.477567|0.435430|0.405805|0.405632|0.395291|0.392335|0.391742|0.377853|0.364740|0.333381|0.320977|0.317771|0.315271|0.302325|0.288202|0.284251|0.271126|0.241384|0.235266|0.045662|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
4,"Retrieve the correct article for the term 'Sky UK' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Sky UK,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",151,Sky UK,1,151|146|149|155|153|152|179|154|175|150|174|181|182|178|180|177|1|147|176|183|148|191|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.775619|0.636326|0.558170|0.506155|0.465488|0.450178|0.407192|0.406565|0.397290|0.392343|0.386382|0.358821|0.317417|0.301485|0.276793|0.274524|0.265525|0.259819|0.247626|0.240153|0.230312|0.225924|0.082047|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
5,"Retrieve the correct article for the term 'Sister Pictures' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Sister Pictures,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",150,Sister Pictures,1,150|146|179|149|155|153|152|175|181|151|154|182|174|183|177|176|148|178|180|191|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.832539|0.664913|0.584778|0.541456|0.539423|0.478041|0.463954|0.431446|0.430655|0.416226|0.407255|0.399486|0.395438|0.380147|0.370971|0.349879|0.342559|0.340871|0.326275|0.291425|0.263141|0.236702|0.077209|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
6,"Retrieve the correct article for the term 'The Mighty Mint' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",The Mighty Mint,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",152,The Mighty Mint,1,152|146|149|155|154|153|179|151|174|175|150|181|178|177|182|176|191|147|183|1|148|180|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.801635|0.653648|0.485285|0.484922|0.477347|0.475803|0.461393|0.416820|0.393208|0.382817|0.380684|0.370859|0.366152|0.354298|0.332772|0.311930|0.277435|0.274708|0.264458|0.255347|0.254246|0.211728|0.035271|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
7,"Retrieve the correct article for the term 'Word Games' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Word Games,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",153,Word Games,1,153|146|149|155|154|179|152|150|175|151|174|181|178|191|147|177|176|1|148|183|182|180|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.826967|0.651083|0.509540|0.472441|0.430825|0.425613|0.415531|0.386659|0.355347|0.355069|0.348162|0.325316|0.312186|0.292291|0.277638|0.273500|0.259091|0.252601|0.251042|0.234280|0.231230|0.217875|0.019183|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
8,"Retrieve the correct article for the term 'Hildur Guðnadóttir' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Hildur Guðnadóttir,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",154,Hildur Guðnadóttir,2,146|154|149|153|179|155|152|175|174|181|150|151|178|191|177|176|182|183|180|148|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.782393|0.755727|0.609985|0.562476|0.562289|0.559708|0.539280|0.529763|0.528209|0.507426|0.490535|0.468480|0.444825|0.442240|0.434436|0.425069|0.411747|0.355176|0.332671|0.322539|0.311084|0.303474|0.170541|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
9,"Retrieve the correct article for the term 'Warner Bros. Television Distribution' given this context: Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",Warner Bros. Television Distribution,"Chernobyl is a 2019 historical drama television miniseries created and written by Craig Mazin and directed by Johan Renck . The production companies are HBO , Sky UK , Sister Pictures , The Mighty Mint , and Word Games . The score was made by Hildur Guðnadóttir and the series was distributed by Warner Bros. Television Distribution .",155,Warner Bros. Television Distribution,1,155|146|149|153|152|150|151|179|154|175|181|174|178|177|176|191|1|182|183|148|147|180|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.823834|0.708394|0.699765|0.569282|0.560867|0.538778|0.515599|0.491760|0.462055|0.433388|0.420243|0.402092|0.365751|0.359134|0.326893|0.323208|0.311496|0.311454|0.306255|0.292826|0.263144|0.261493|0.051691|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
10,Retrieve the correct article for the term 'Chernobyl' given this context: HBO is a production company of Chernobyl .,Chernobyl,HBO is a production company of Chernobyl .,146,Chernobyl,3,149|155|146|153|179|150|152|175|151|154|181|174|178|1|180|177|182|176|183|191|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.752678|0.632578|0.625871|0.554239|0.540439|0.515591|0.493685|0.482601|0.472602|0.446732|0.442954|0.393081|0.372510|0.365268|0.359647|0.353260|0.345103|0.333551|0.320447|0.307648|0.160051|0.112731|0.005542|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
